abs_path,rel_path,area
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000009.jpg,range_1\000009.jpg,261042.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_2\000009.jpg,range_2\000009.jpg,261042.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_2\000013.jpg,range_2\000013.jpg,261042.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_2\000004.jpg,range_2\000004.jpg,267928.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000029.jpg,range_1\000029.jpg,268025.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_2\000027.jpg,range_2\000027.jpg,279040.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000011.jpg,range_1\000011.jpg,279822.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_2\000014.jpg,range_2\000014.jpg,279822.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000012.jpg,range_1\000012.jpg,301106.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000010.jpg,range_1\000010.jpg,304862.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_2\000002.jpg,range_2\000002.jpg,306204.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000016.jpg,range_1\000016.jpg,391876.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000030.jpg,range_1\000030.jpg,396288.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000019.jpg,range_1\000019.jpg,406272.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000018.jpg,range_1\000018.jpg,436000.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000026.jpg,range_1\000026.jpg,606208.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000014.jpg,range_1\000014.jpg,614400.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000015.jpg,range_1\000015.jpg,614495.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000028.jpg,range_1\000028.jpg,618000.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000025.jpg,range_1\000025.jpg,625000.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_2\000023.jpg,range_2\000023.jpg,634315.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_2\000012.jpg,range_2\000012.jpg,667000.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000024.jpg,range_1\000024.jpg,696320.0
C:\Users\krasi\application-programming-labs-2025\fish_images\range_1\000023.jpg,range_1\000023.jpg,699392.0
